id,short_summary,issue,tags,date_created
22,Customer Support Call,Customer is not sure what to do next.,[],2023-06-12 00:52:20
11,Customer Support Call,Agent was unable to hear the customer,[],2023-06-11 21:02:09
20,Customer Technical Issue,Customer was having difficulty with their device.,[],2023-06-11 22:10:38
95,Ford Motor Company Customer Support Call,Customer was having difficulty hearing the agent.,[],2023-06-12 08:33:12
21,Lincoln Way App Set Up Assistance,Customer was trying to set up the Lincoln Way app on their phone but was having difficulty.,['lincoln'],2023-06-11 22:32:22
45,Ford Motor Company Customer Support Call,Customer had not received a response to their inquiry after two days.,[],2023-06-12 08:08:04
87,Ford Software Update Assistance,Customer was unable to pair their phone with their car.,[],2023-06-12 08:28:50
34,Customer Support Call,Customer seeking assistance,['assistance'],2023-06-12 08:02:12
36,VIN Number Assistance,Customer was unable to locate their VIN number.,[],2023-06-12 08:02:36
94,Locked Keys in Car,Customer's keys are locked in their car and they need a way to get them out.,[],2023-06-12 08:32:31
